Timestamp,n-transactions
2009-01-17 00:00:00,109.0
2009-01-18 00:00:00,108.0
2009-01-19 00:00:00,117.0
2009-01-20 00:00:00,115.0
2009-01-21 00:00:00,105.0
2009-01-22 00:00:00,90.0
2009-01-23 00:00:00,86.0
2009-01-24 00:00:00,202.0
2009-01-25 00:00:00,192.0
2009-01-26 00:00:00,97.0
2009-01-27 00:00:00,98.0
2009-01-28 00:00:00,112.0
2009-01-29 00:00:00,122.0
2009-01-30 00:00:00,117.0
2009-01-31 00:00:00,139.0
2009-02-01 00:00:00,114.0
2009-02-02 00:00:00,129.0
2009-02-03 00:00:00,155.0
2009-02-04 00:00:00,119.0
2009-02-05 00:00:00,126.0
2009-02-06 00:00:00,122.0
2009-02-07 00:00:00,133.0
2009-02-08 00:00:00,133.0
2009-02-09 00:00:00,135.0
2009-02-10 00:00:00,120.0
2009-02-11 00:00:00,135.0
2009-02-12 00:00:00,119.0
2009-02-13 00:00:00,124.0
2009-02-14 00:00:00,136.0
2009-02-15 00:00:00,131.0
2009-02-16 00:00:00,123.0
2009-02-17 00:00:00,117.0
2009-02-18 00:00:00,118.0
2009-02-19 00:00:00,125.0
2009-02-20 00:00:00,122.0
2009-02-21 00:00:00,114.0
2009-02-22 00:00:00,125.0
2009-02-23 00:00:00,108.0
2009-02-24 00:00:00,106.0
2009-02-25 00:00:00,105.0
2009-02-26 00:00:00,107.0
2009-02-27 00:00:00,116.0
2009-02-28 00:00:00,100.0
2009-03-01 00:00:00,105.0
2009-03-02 00:00:00,108.0
2009-03-03 00:00:00,107.0
2009-03-04 00:00:00,106.0
2009-03-05 00:00:00,113.0
2009-03-06 00:00:00,117.0
2009-03-07 00:00:00,109.0
2009-03-08 00:00:00,118.0
2009-03-09 00:00:00,108.0
2009-03-10 00:00:00,107.0
2009-03-11 00:00:00,114.0
2009-03-12 00:00:00,119.0
2009-03-13 00:00:00,114.0
2009-03-14 00:00:00,110.0
2009-03-15 00:00:00,123.0
2009-03-16 00:00:00,122.0
2009-03-17 00:00:00,114.0
2009-03-18 00:00:00,116.0
2009-03-19 00:00:00,122.0
2009-03-20 00:00:00,119.0
2009-03-21 00:00:00,51.0
2009-03-22 00:00:00,120.0
2009-03-23 00:00:00,130.0
2009-03-24 00:00:00,105.0
2009-03-25 00:00:00,117.0
2009-03-26 00:00:00,118.0
2009-03-27 00:00:00,106.0
2009-03-28 00:00:00,122.0
2009-03-29 00:00:00,116.0
2009-03-30 00:00:00,120.0
2009-03-31 00:00:00,111.0
2009-04-01 00:00:00,114.0
2009-04-02 00:00:00,115.0
2009-04-03 00:00:00,116.0
2009-04-04 00:00:00,113.0
2009-04-05 00:00:00,132.0
2009-04-06 00:00:00,109.0
2009-04-07 00:00:00,100.0
2009-04-08 00:00:00,105.0
2009-04-09 00:00:00,99.0
2009-04-10 00:00:00,108.0
2009-04-11 00:00:00,121.0
2009-04-12 00:00:00,120.0
2009-04-13 00:00:00,116.0
2009-04-14 00:00:00,124.0
2009-04-15 00:00:00,113.0
2009-04-16 00:00:00,123.0
2009-04-17 00:00:00,112.0
2009-04-18 00:00:00,130.0
2009-04-19 00:00:00,120.0
2009-04-20 00:00:00,121.0
2009-04-21 00:00:00,124.0
2009-04-22 00:00:00,121.0
2009-04-23 00:00:00,75.0
2009-04-24 00:00:00,115.0
2009-04-25 00:00:00,118.0
2009-04-26 00:00:00,114.0
2009-04-27 00:00:00,104.0
2009-04-28 00:00:00,117.0
2009-04-29 00:00:00,129.0
2009-04-30 00:00:00,131.0
2009-05-01 00:00:00,121.0
2009-05-02 00:00:00,128.0
2009-05-03 00:00:00,109.0
2009-05-04 00:00:00,129.0
2009-05-05 00:00:00,136.0
2009-05-06 00:00:00,135.0
2009-05-07 00:00:00,122.0
2009-05-08 00:00:00,108.0
2009-05-09 00:00:00,77.0
2009-05-10 00:00:00,85.0
2009-05-11 00:00:00,121.0
2009-05-12 00:00:00,130.0
2009-05-13 00:00:00,116.0
2009-05-14 00:00:00,142.0
2009-05-15 00:00:00,137.0
2009-05-16 00:00:00,119.0
2009-05-17 00:00:00,127.0
2009-05-18 00:00:00,118.0
2009-05-19 00:00:00,86.0
2009-05-20 00:00:00,120.0
2009-05-21 00:00:00,82.0
2009-05-22 00:00:00,62.0
2009-05-23 00:00:00,31.0
2009-05-24 00:00:00,100.0
2009-05-25 00:00:00,109.0
2009-05-26 00:00:00,125.0
2009-05-27 00:00:00,119.0
2009-05-28 00:00:00,95.0
2009-05-29 00:00:00,107.0
2009-05-30 00:00:00,109.0
2009-05-31 00:00:00,97.0
2009-06-01 00:00:00,72.0
2009-06-02 00:00:00,110.0
2009-06-03 00:00:00,72.0
2009-06-04 00:00:00,65.0
2009-06-05 00:00:00,31.0
2009-06-06 00:00:00,27.0
2009-06-07 00:00:00,16.0
2009-06-08 00:00:00,82.0
2009-06-09 00:00:00,91.0
2009-06-10 00:00:00,82.0
2009-06-11 00:00:00,89.0
2009-06-12 00:00:00,86.0
2009-06-13 00:00:00,78.0
2009-06-14 00:00:00,72.0
2009-06-15 00:00:00,84.0
2009-06-16 00:00:00,71.0
2009-06-17 00:00:00,79.0
2009-06-18 00:00:00,80.0
2009-06-19 00:00:00,87.0
2009-06-20 00:00:00,78.0
2009-06-21 00:00:00,81.0
2009-06-22 00:00:00,77.0
2009-06-23 00:00:00,76.0
2009-06-24 00:00:00,97.0
2009-06-25 00:00:00,69.0
2009-06-26 00:00:00,90.0
2009-06-27 00:00:00,84.0
2009-06-28 00:00:00,47.0
2009-06-29 00:00:00,84.0
2009-06-30 00:00:00,86.0
2009-07-01 00:00:00,75.0
2009-07-02 00:00:00,84.0
2009-07-03 00:00:00,82.0
2009-07-04 00:00:00,89.0
2009-07-05 00:00:00,79.0
2009-07-06 00:00:00,84.0
2009-07-07 00:00:00,69.0
2009-07-08 00:00:00,74.0
2009-07-09 00:00:00,86.0
2009-07-10 00:00:00,81.0
2009-07-11 00:00:00,83.0
2009-07-12 00:00:00,77.0
2009-07-13 00:00:00,78.0
2009-07-14 00:00:00,69.0
2009-07-15 00:00:00,45.0
2009-07-16 00:00:00,71.0
2009-07-17 00:00:00,48.0
2009-07-18 00:00:00,4.0
2009-07-19 00:00:00,69.0
2009-07-20 00:00:00,71.0
2009-07-21 00:00:00,82.0
2009-07-22 00:00:00,61.0
2009-07-23 00:00:00,75.0
2009-07-24 00:00:00,73.0
2009-07-25 00:00:00,33.0
2009-07-26 00:00:00,20.0
2009-07-27 00:00:00,74.0
2009-07-28 00:00:00,41.0
2009-07-29 00:00:00,21.0
2009-07-30 00:00:00,15.0
2009-07-31 00:00:00,17.0
2009-08-01 00:00:00,28.0
2009-08-02 00:00:00,23.0
2009-08-03 00:00:00,12.0
2009-08-04 00:00:00,81.0
2009-08-05 00:00:00,87.0
2009-08-06 00:00:00,90.0
2009-08-07 00:00:00,81.0
2009-08-08 00:00:00,80.0
2009-08-09 00:00:00,101.0
2009-08-10 00:00:00,75.0
2009-08-11 00:00:00,70.0
2009-08-12 00:00:00,63.0
2009-08-13 00:00:00,85.0
2009-08-14 00:00:00,63.0
2009-08-15 00:00:00,26.0
2009-08-16 00:00:00,20.0
2009-08-17 00:00:00,17.0
2009-08-18 00:00:00,9.0
2009-08-19 00:00:00,18.0
2009-08-20 00:00:00,23.0
2009-08-21 00:00:00,13.0
2009-08-22 00:00:00,7.0
2009-08-23 00:00:00,15.0
2009-08-24 00:00:00,15.0
2009-08-25 00:00:00,51.0
2009-08-26 00:00:00,50.0
2009-08-27 00:00:00,29.0
2009-08-28 00:00:00,75.0
2009-08-29 00:00:00,78.0
2009-08-30 00:00:00,98.0
2009-08-31 00:00:00,87.0
2009-09-01 00:00:00,79.0
2009-09-02 00:00:00,65.0
2009-09-03 00:00:00,62.0
2009-09-04 00:00:00,64.0
2009-09-05 00:00:00,76.0
2009-09-06 00:00:00,68.0
2009-09-07 00:00:00,79.0
2009-09-08 00:00:00,69.0
2009-09-09 00:00:00,54.0
2009-09-10 00:00:00,67.0
2009-09-11 00:00:00,67.0
2009-09-12 00:00:00,69.0
2009-09-13 00:00:00,75.0
2009-09-14 00:00:00,74.0
2009-09-15 00:00:00,45.0
2009-09-16 00:00:00,72.0
2009-09-17 00:00:00,85.0
2009-09-18 00:00:00,78.0
2009-09-19 00:00:00,74.0
2009-09-20 00:00:00,78.0
2009-09-21 00:00:00,70.0
2009-09-22 00:00:00,27.0
2009-09-23 00:00:00,35.0
2009-09-24 00:00:00,97.0
2009-09-25 00:00:00,93.0
2009-09-26 00:00:00,100.0
2009-09-27 00:00:00,88.0
2009-09-28 00:00:00,85.0
2009-09-29 00:00:00,90.0
2009-09-30 00:00:00,85.0
2009-10-01 00:00:00,82.0
2009-10-02 00:00:00,73.0
2009-10-03 00:00:00,58.0
2009-10-04 00:00:00,53.0
2009-10-05 00:00:00,55.0
2009-10-06 00:00:00,46.0
2009-10-07 00:00:00,59.0
2009-10-08 00:00:00,70.0
2009-10-09 00:00:00,77.0
2009-10-10 00:00:00,79.0
2009-10-11 00:00:00,74.0
2009-10-12 00:00:00,59.0
2009-10-13 00:00:00,57.0
2009-10-14 00:00:00,69.0
2009-10-15 00:00:00,71.0
2009-10-16 00:00:00,61.0
2009-10-17 00:00:00,57.0
2009-10-18 00:00:00,75.0
2009-10-19 00:00:00,112.0
2009-10-20 00:00:00,96.0
2009-10-21 00:00:00,81.0
2009-10-22 00:00:00,91.0
2009-10-23 00:00:00,89.0
2009-10-24 00:00:00,63.0
2009-10-25 00:00:00,76.0
2009-10-26 00:00:00,71.0
2009-10-27 00:00:00,65.0
2009-10-28 00:00:00,67.0
2009-10-29 00:00:00,47.0
2009-10-30 00:00:00,60.0
2009-10-31 00:00:00,46.0
2009-11-01 00:00:00,25.0
2009-11-02 00:00:00,33.0
2009-11-03 00:00:00,62.0
2009-11-04 00:00:00,64.0
2009-11-05 00:00:00,58.0
2009-11-06 00:00:00,61.0
2009-11-07 00:00:00,69.0
2009-11-08 00:00:00,73.0
2009-11-09 00:00:00,64.0
2009-11-10 00:00:00,78.0
2009-11-11 00:00:00,73.0
2009-11-12 00:00:00,66.0
2009-11-13 00:00:00,83.0
2009-11-14 00:00:00,79.0
2009-11-15 00:00:00,96.0
2009-11-16 00:00:00,97.0
2009-11-17 00:00:00,92.0
2009-11-18 00:00:00,79.0
2009-11-19 00:00:00,72.0
2009-11-20 00:00:00,86.0
2009-11-21 00:00:00,73.0
2009-11-22 00:00:00,106.0
2009-11-23 00:00:00,96.0
2009-11-24 00:00:00,93.0
2009-11-25 00:00:00,90.0
2009-11-26 00:00:00,84.0
2009-11-27 00:00:00,74.0
2009-11-28 00:00:00,71.0
2009-11-29 00:00:00,60.0
2009-11-30 00:00:00,75.0
2009-12-01 00:00:00,74.0
2009-12-02 00:00:00,94.0
2009-12-03 00:00:00,88.0
2009-12-04 00:00:00,36.0
2009-12-05 00:00:00,65.0
2009-12-06 00:00:00,105.0
2009-12-07 00:00:00,112.0
2009-12-08 00:00:00,107.0
2009-12-09 00:00:00,109.0
2009-12-10 00:00:00,104.0
2009-12-11 00:00:00,112.0
2009-12-12 00:00:00,112.0
2009-12-13 00:00:00,114.0
